path,type,size,parent_directory
E:\GB\Calc\.git\objects\6e\543c182f05145df8bcc117ef6b611f4a391325,file,379,E:\GB\Calc\.git\objects\6e
E:\GB\Calc\.git\objects\6e\c59c1c1ab1a49a36be27984926ba560b4e865c,file,54,E:\GB\Calc\.git\objects\6e
E:\GB\Calc\.git\objects\6e,directory,433,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\73\a99f158d2fb9393b0f9920106960878638a53a,file,382,E:\GB\Calc\.git\objects\73
E:\GB\Calc\.git\objects\73,directory,382,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\7a\6ca5acc74949217b8a7acac3c525a57cab16b6,file,249,E:\GB\Calc\.git\objects\7a
E:\GB\Calc\.git\objects\7a\7a91ce0e806eb9d8a83883f3ddac72f6e1171b,file,94,E:\GB\Calc\.git\objects\7a
E:\GB\Calc\.git\objects\7a,directory,343,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\8c\6d300dce69450c6f5bcb0291a86517f5576c8d,file,410,E:\GB\Calc\.git\objects\8c
E:\GB\Calc\.git\objects\8c,directory,410,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\91\f5a1a6c6497db9f7a819d6ffc3756cc4d0cbad,file,636,E:\GB\Calc\.git\objects\91
E:\GB\Calc\.git\objects\91,directory,636,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\9c\6125a83be0627648e29788f571846cf304f751,file,320,E:\GB\Calc\.git\objects\9c
E:\GB\Calc\.git\objects\9c,directory,320,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\ab\322d44ddc9fe2d3540291b18f59cd9dfb376b6,file,272,E:\GB\Calc\.git\objects\ab
E:\GB\Calc\.git\objects\ab,directory,272,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\af\7da955f3157df3e682b31c0481e9ebeda6a16d,file,89,E:\GB\Calc\.git\objects\af
E:\GB\Calc\.git\objects\af,directory,89,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\b5\9dc41207d6e9b90e3ef82a1eacc102fe082a0a,file,516,E:\GB\Calc\.git\objects\b5
E:\GB\Calc\.git\objects\b5,directory,516,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\be\5f4f7d587c4cb9e447d15f06d3257c7c6ea508,file,104,E:\GB\Calc\.git\objects\be
E:\GB\Calc\.git\objects\be,directory,104,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\c0\9bb0f41eba9bfa67ab7977ee8f39015816ebc5,file,125,E:\GB\Calc\.git\objects\c0
E:\GB\Calc\.git\objects\c0,directory,125,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\db\0fa727b8e750ed131fcd9374ed513964648812,file,383,E:\GB\Calc\.git\objects\db
E:\GB\Calc\.git\objects\db,directory,383,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\e6\9de29bb2d1d6434b8b29ae775ad8c2e48c5391,file,15,E:\GB\Calc\.git\objects\e6
E:\GB\Calc\.git\objects\e6,directory,15,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\f0\1aee8e73d463c9c3b248554fba35b721a38f3d,file,238,E:\GB\Calc\.git\objects\f0
E:\GB\Calc\.git\objects\f0\b15cbb1f2052228145870720d04df8b93035d0,file,107,E:\GB\Calc\.git\objects\f0
E:\GB\Calc\.git\objects\f0,directory,345,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\f1\0533641445a2e455da61f23da2ce482e79896b,file,168,E:\GB\Calc\.git\objects\f1
E:\GB\Calc\.git\objects\f1,directory,168,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\f3\a33a54dbb40817a1050081be6675d1d5e7382a,file,650,E:\GB\Calc\.git\objects\f3
E:\GB\Calc\.git\objects\f3,directory,650,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\info,directory,0,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\pack,directory,0,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\refs,directory,0,E:\GB\Calc\.git
E:\GB\Calc\.git\refs\heads\main,file,41,E:\GB\Calc\.git\refs\heads
E:\GB\Calc\.git\refs\heads,directory,41,E:\GB\Calc\.git\refs
E:\GB\Calc\.git\refs\remotes,directory,0,E:\GB\Calc\.git\refs
E:\GB\Calc\.git\refs\remotes\origin\main,file,41,E:\GB\Calc\.git\refs\remotes\origin
E:\GB\Calc\.git\refs\remotes\origin,directory,41,E:\GB\Calc\.git\refs\remotes
E:\GB\Calc\.git\refs\tags,directory,0,E:\GB\Calc\.git\refs
E:\GB\Excel,directory,0,E:\GB
E:\GB\Excel\Sem1\Семинар 1_ Основы работы с электронными таблицами.pptx,file,3755265,E:\GB\Excel\Sem1
E:\GB\Excel\Sem1\Семинар1_данные (1).xlsx,file,10102,E:\GB\Excel\Sem1
